exp,perplexity,score,dist_from_mean_emb,num_distinct_1grams,num_distinct_2grams,entropy_2grams,entropy_4grams,min_edit_distance,mean_edit_distance,max_edit_distance
iterative_beam_search_bs5_ibs100,11.412607400292758,-2.434718656636303,0.013406247,0.6631420021721904,0.7437647835135359,3.6209156441849286,3.0709593415217307,2.48,4.896222222222223,6.32
random_sampling_temp1.0_top100,10.378726331158198,-2.339758166081634,0.019421665,0.5238826540625336,0.6757665840456708,3.5377869072381736,3.178602315289707,1.5,4.848222222222223,7.04
random_sampling_temp1.0,63.97276727798434,-4.158457481522563,0.019752247,0.6279660772857982,0.7609697449500271,3.7309928386885733,3.267920330813427,2.62,5.496,7.46
standard_beam_search_bs100_npad0.3,4.707002040798004,-1.549051195985515,0.012818996,0.4235170136542104,0.5985353571086407,3.3234294269012015,3.052272300269739,1.03,3.524888888888889,5.79
standard_beam_search_bs100,4.63706001435872,-1.5340805478225987,0.01206796,0.4369600612503141,0.6065478035234854,3.3302261344597737,3.046782439079457,1.05,3.519777777777778,5.66
diverse_beam_search_bs100_dbs0.8,6.820904114679909e+26,-61.787204449049064,0.040183377,0.19744858095275244,0.20429691160087032,2.658688647364022,2.5223002313226344,1.0,5.595111111111111,14.21
random_sampling_temp0.5,51.3997093571738,-3.93963251791544,0.02370273,0.5024481228152404,0.6313455913087397,3.4648242035766144,3.1978731956431043,1.49,5.0555555555555545,7.76
beam_search_bs100_kpercand3,4.800113781137433,-1.5686396220365322,0.011886852,0.4288365440311041,0.6014377510706954,3.3175710996253183,3.045770239069165,1.02,3.4813333333333336,5.62
clustering_beam_search_bs100_cbs5,4.64610711438351,-1.5360296892661593,0.012350582,0.4373974109768227,0.6052418886905012,3.3304547793148185,3.0491537819493204,1.03,3.5282222222222233,5.67
random_sampling_temp0.7,35.79458174276836,-3.577796533985031,0.021381456,0.5329643727180559,0.6768674751710081,3.557835622737786,3.20094619915192,1.72,5.148444444444444,7.63
